n°,Giocatore,Squadra,Ruolo,Anno,Altezza,P.S.,P.G,Media
1,De Pasquale Manuel,Mojazza Milano,P/G,1989,,487,26,"18,73"
2,Passero Davide,Basket  Seregno,G,1994,181,391,24,"16,29"
3,Romanò Alessandro,Mojazza Milano,G,1988,,382,22,"17,36"
4,Riccardi Luca,Forti E  Liberi Monza,xx,1990,,359,26,"13,81"
5,Ciccone Stefano,O.S.A.L.  Novate,A,1987,190,355,26,"13,65"
6,Ferrara Luca,Gerardiana  Monza,A,1994,,350,23,"15,22"
7,Rigon Davide,Gerardiana  Monza,A/C,1995,,329,23,"14,30"
8,Semoli Teobaldo,Basket  Seregno,P,1986,185,319,20,"15,95"
9,Sala Alberto,Basket  Biassono,A,1992,195,311,24,"12,96"
10,Protti Stefano,Asa Cinisello,G,1987,186,306,23,"13,30"
11,Arosio Luca,Basket  Biassono,A,1986,191,293,24,"12,21"
12,Bila Omer,Basket  Brusuglio,C,1988,,286,26,"11,00"
13,Binaghi Mauro,S.Giuseppe Arese,A/C,1974,194,280,22,"12,73"
14,Binaghi Gabriele,S.Giuseppe Arese,A/C,1979,195,270,25,"10,80"
15,Marin Daniele,S.Giuseppe Arese,G,1995,181,269,22,"12,23"
16,Mantelli Davide,ItalControlMeters  Villasanta,C,1994,203,268,24,"11,17"
17,Veneroni Andrea,Asa Cinisello,A,1983,191,262,24,"10,92"
18,Carrara Mattia,Basket  Biassono,G/A,1991,190,256,26,"9,85"
19,Montagna Roberto,Asa Cinisello,A,1983,192,252,19,"13,26"
20,Valassina Andrea,O.S.A.L.  Novate,G,1983,189,252,25,"10,08"
21,Rossi Edoardo,Basket  Brusuglio,P/G,1981,,247,25,"9,88"
22,Manzoni Andrea,Ferrall  Cavenago,G,1989,187,245,24,"10,21"
23,Meloni Alessandro,Forti E  Liberi Monza,P/G,1993,180,243,24,"10,13"
24,Mungiovì Massimiliano,ItalControlMeters  Villasanta,G,1988,185,236,25,"9,44"
25,Ricci Simone,ItalControlMeters  Villasanta,P,1984,180,233,25,"9,32"
26,Raffaele Stefano,Mojazza Milano,A/C,1992,,233,25,"9,32"
27,Galimberti Alessio,ItalControlMeters  Villasanta,G,1992,187,227,24,"9,46"
28,Molteni Sergio,Forti E  Liberi Monza,xx,1985,,224,19,"11,79"
29,Lego Marco,Sporting  Milanino,G,1982,181,222,22,"10,09"
30,Anzani,Sporting  Milanino,,,,221,14,"15,79"
31,Biase Andrea,Basket  Brusuglio,A,1991,192,218,22,"9,91"
32,Torriani Luca,O.S.A.L.  Novate,A/C,1997,203,215,26,"8,27"
33,Grassi Marco,Basket  Brusuglio,G,1984,,213,21,"10,14"
34,Colombo Davide,Mojazza Milano,G/A/C,1994,,213,26,"8,19"
35,Sala Stefano,O.S.A.L.  Novate,A,1997,194,207,25,"8,28"
36,Marconi Emanuele,Sporting  Milanino,A/C,1982,195,207,26,"7,96"
37,Cigada Matteo,O.S.A.L.  Novate,P,1996,182,206,26,"7,92"
38,Stefanucci Michele,Mojazza Milano,A/C,1989,,205,17,"12,06"
39,Orfei Matteo,Sporting  Milanino,G/A,1982,185,203,22,"9,23"
40,Favalessa Fabio,ItalControlMeters  Villasanta,G/A,1991,190,195,24,"8,13"
41,Magenga Paolo,Ferrall  Cavenago,G,1993,180,195,26,"7,50"
42,Cipolla Stefano,Gerardiana  Monza,A,1993,,195,26,"7,50"
43,Rigamonti Marco,Basket  Seregno,G,1995,185,190,26,"7,31"
44,Clementoni Matteo,Politecnico  di Milano,G,1996,185,188,14,"13,43"
